city,hotel_name,score,description,latitude,longitude,temperature,humidity
Bayonne,Beautiful flat with a view on the Nive river in Bayonne - Welkeys,7.0,"Offering free WiFi and city views, Beautiful flat with a view on the Nive river in Bayonne - Welkeys is an accommodation located in Bayonne. ",43.4894916,-1.4740525,4,81
Bayonne,Hotel Loreak,7.9,Hotel Loreak is located 2 km from Bayonne city centre and offers en-suite accommodation with free Wi-Fi internet access and a flat-screen TV. ,43.49349109,-1.45263344,4,81
Bayonne,Parc 709 Bayonne,9.2,Managed by a private host,43.495606,-1.481317,4,81
Bayonne,Maison d'hôtes City Break MIRADOUR,8.7,"Set in Bayonne, Maison d'hôtes City Break MIRADOUR has well-equipped accommodation featuring free WiFi, 12 km from Biarritz La Négresse Train Station and 22 km from Saint Jean de Luz Train Station. ",43.489513,-1.479078,4,81
Bayonne,Hôtel Villa KOEGUI Bayonne,9.0,"Hôtel Villa KOEGUI Bayonne has a restaurant, fitness centre, a bar and shared lounge in Bayonne. This property also provides guests with a terrace. ",43.492371,-1.472588,4,81
Bayonne,Hotel Cote Basque,7.8,"This hotel sits in the heart Bayonne’s historical town, in front of the Saint Esprit bridge. It offers free Wi-Fi and en suite rooms. ",43.49618306,-1.46960109,4,81
Bayonne,Villa la Renaissance,9.2,"Villa la Renaissance offers rooms in Bayonne, 600 metres from Ansot Park and 1.2 km from Saint Marie Cathedral. Featuring room service, this property also provides guests with a terrace. ",43.482321,-1.468164,4,81
La Rochelle,Hôtel Le Yachtman,8.2,"Located in La Rochelle, Le Yachtman features a heated swimming pool and a terrace with views of the harbour. It offers en suite accommodation and is just 500 metres from the train station. ",46.15728365,-1.14996761,4,81
La Rochelle,Hotel de La Paix,7.6,"Located in the heart of the city and footsteps from the old port of La Rochelle, the hotel welcomes you in a genuine 18th century ship owner’s residence Set between the Market Place and Verdun Square...",46.16193939,-1.15085542,4,81
La Rochelle,Un Hotel sur le Port,8.1,"Un Hotel sur le Port is located in the heart of La Rochelle, 5 minutes from the aquarium and the tourist office. Each guest room has a private bathroom, flat-screen TV and Wi-Fi internet. ",46.15612058,-1.1489135,4,81
